UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 914070000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=914070000 | node=2 | EXP=CAN[STD ] id=0x18b dlc=2 bytes=2 attempt=8 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x18b dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 920410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=920410000 | node=0 | EXP=CAN[STD ] id=0x193 dlc=2 bytes=2 attempt=10 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x193 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 920410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=920410000 | node=1 | EXP=CAN[STD ] id=0x193 dlc=2 bytes=2 attempt=10 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x193 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 920410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=920410000 | node=2 | EXP=CAN[STD ] id=0x193 dlc=2 bytes=2 attempt=10 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x193 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1207530000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1207530000 | node=0 | EXP=CAN[STD ] id=0x104 dlc=2 bytes=2 attempt=9 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x104 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1207530000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1207530000 | node=1 | EXP=CAN[STD ] id=0x104 dlc=2 bytes=2 attempt=9 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x104 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1207530000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1207530000 | node=2 | EXP=CAN[STD ] id=0x104 dlc=2 bytes=2 attempt=9 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x104 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1213970000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1213970000 | node=0 | EXP=CAN[STD ] id=0x184 dlc=2 bytes=2 attempt=8 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x184 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1213970000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1213970000 | node=1 | EXP=CAN[STD ] id=0x184 dlc=2 bytes=2 attempt=8 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x184 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1213970000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1213970000 | node=2 | EXP=CAN[STD ] id=0x184 dlc=2 bytes=2 attempt=8 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x184 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1220310000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1220310000 | node=0 | EXP=CAN[STD ] id=0x194 dlc=2 bytes=2 attempt=13 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x194 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1220310000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1220310000 | node=1 | EXP=CAN[STD ] id=0x194 dlc=2 bytes=2 attempt=13 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x194 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 1220310000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=1220310000 | node=2 | EXP=CAN[STD ] id=0x194 dlc=2 bytes=2 attempt=13 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x194 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
[CAN_SB_TXN]    45
